,artist,song,genres,year,key,mode,duration,bpm
6172,Jane Birkin,Ex fan des sixties,Pop,1978,A,minor,3:03,145BPM
6173,Loudon Wainwright III,Dead Skunk,Pop,1972,G,major,3:06,147BPM
6174,Barbra Streisand & Neil Diamond,You Don't Bring Me Flowers,Pop,1978,,,,
6175,Eddy Mitchell,Il ne rentre pas ce soir,Pop,1978,A,minor,3:54,85BPM
6176,Roxy Music,Editions of You,Rock,1973,G♯/A♭,major,3:51,137BPM
6177,Neil Young,Lotta Love,Rock,1978,D,major,2:38,107BPM
6178,The Rolling Stones,Soul Survivor,Rock,1972,F,major,3:49,115BPM
6179,Sweeney Todd,Roxy Roller,Rock,1975,A,major,2:49,116BPM
6180,Boston,Don't Look Back,Rock,1978,,,,
6181,Van Morrison,Bright side of the road,Rock,1979,C,major,3:47,177BPM
6182,Jethro Tull,Hymn 43,Rock,1971,A,major,4:22,133BPM
6183,Richard and Linda Thompson,Dimming of the Day,Rock,1975,,,,
6184,Ray Stevens,Everything Is Beautiful,Pop,1970,F,major,3:37,111BPM
6185,Genesis,Counting Out Time,Rock,1974,,,,
6186,Serge Gainsbourg,L'homme à tête de chou,Pop,1976,,,,
6187,Ramones,Pinhead,Rock,1977,A,major,2:46,206BPM
6188,Harmonium,Pour un instant,Rock,1974,F,major,3:21,129BPM
6189,Penetration,Don't Dictate,Rock,1977,,,,
6190,Laurent Voulzy,Rockollection,Pop,1977,C,major,4:11,129BPM
6191,Led Zeppelin,In the Evening,Rock,1979,D,major,6:54,104BPM
6192,Led Zeppelin,The Wanton Song,Rock,1975,G,minor,4:10,111BPM
6193,Van Der Graaf Generator,Refugees,Rock,1970,,,,
6194,The Clash,Julie's Been Working for the Drug Squad,Rock,1978,,,,
6195,Little Feat,Fat Man in the Bathtub,Rock,1973,G,major,4:32,88BPM
6196,Chic,My Feet Keep Dancing,Dance,1979,D,minor,6:39,111BPM
6197,Tony Bennett & Bill Evans,Some Other Time,Pop,1975,,,,
6198,Adam and The Ants,Cartrouble,Rock,1979,,,,
6199,Tom Waits,"Somewhere (From ""West Side Story"")",Pop,1978,,,,
6200,Kiss,Love Gun,Rock,1977,D♯/E♭,minor,3:17,147BPM
6201,Roogalator,Cincinatti Fat Back,Rock,1976,,,,
6202,Tim Buckley,Get on Top of Me Woman,Rock,1972,,,,
6203,"Emerson, Lake & Palmer",From the Beginning,Rock,1972,,,,
6204,Led Zeppelin,Celebration Day,Rock,1970,D,major,3:30,128BPM
6205,Yes,Long Distance Runaround,Rock,1971,C,major,3:30,93BPM
6206,Voyage,From East to West,Dance,1977,A,minor,7:11,128BPM
6207,The Salsoul Orchestra,You're Just the Right Size,Dance,1975,,,,
6208,The Stills-Young Band,Long May You Run,Rock,1976,D,major,3:49,147BPM
6209,Yvonne Elliman,If I Can't Have You,Dance,1977,,,,
6210,Brian Eno,Julie With...,Pop,1977,,,,
6211,Little Feat,Easy to Slip,Rock,1972,G,major,3:21,140BPM
6212,Jethro Tull,The Whistler,Rock,1977,,,,
6213,David McNeil,Hollywood,Pop,1972,,,,
6214,Jerry Garcia,Sugaree,Rock,1972,C♯/D♭,minor,5:55,86BPM
6215,Syd Barrett,Baby Lemonade,Rock,1970,D,major,4:06,96BPM
6216,Yes,Awaken,Rock,1977,E,minor,18:34,138BPM
6217,Graham Nash,Chicago,Rock,1971,A,minor,2:51,82BPM
6218,Triana,Abre la puerta,Rock,1975,D,minor,9:50,138BPM
6219,Andy Gibb,Shadow Dancing,Dance,1978,G,minor,4:36,102BPM
6220,Bad Company,Shooting Star,Rock,1975,A,major,7:24,84BPM
6221,Hello,New York Groove,Rock,1975,F,major,2:45,94BPM
6222,Neil Young & Crazy Horse,Don't Cry No Tears,Rock,1975,,,,
6223,Claudio Baglioni,Sabato Pomeriggio,Pop,1975,F♯/G♭,minor,5:08,75BPM
6224,Jackie Moore,This Time Baby ,Dance,1979,A♯/B♭,minor,7:13,124BPM
6225,Motörhead,Motörhead,Rock,1977,E,major,3:10,203BPM
6226,Van Halen,Jamie's Cryin',Rock,1978,,,,
6227,Robin Trower,Day of the Eagle,Rock,1974,F,minor,4:04,133BPM
6228,Dan Hartman,Instant Replay,Dance,1978,A,minor,3:25,129BPM
6229,John Lennon/Plastic Ono Band,I Found Out,Rock,1970,,,,
6230,Moris,Sábado Noche,Rock,1978,,,,
6231,Jimi Hendrix,Dolly Dagger,Rock,1971,G♯/A♭,major,4:44,121BPM
6232,Bob Dylan,Went to See the Gypsy,Rock,1970,A♯/B♭,major,2:49,77BPM
6233,Elvis Presley,Until It's Time for You to Go,Pop,1972,,,,
6234,Laurent Voulzy,Le Cur grenadine,Pop,1979,,,,
6235,Robin McNamara,Lay a Little Lovin' on Me,Pop,1970,,,,
6236,Santana,Everybody's Everything,Rock,1971,,,,
6237,David Bowie,Stay,Rock,1976,,,,
